index,pred,Preal,Prev
2020-01-04 19:00:00,1057.3889,1085.0800000000004,1056.0
2020-01-04 20:00:00,1117.0115,1117.3,1096.0
2020-01-04 21:00:00,1136.0725,1120.9199999999996,1122.0
2020-01-04 22:00:00,1121.5917,1108.35,1159.0
2020-01-04 23:00:00,1088.7458,1073.02,1146.0
2020-01-05 00:00:00,1046.2583,1059.88,1151.0
2020-01-05 01:00:00,1028.2913,1017.58,1106.0
2020-01-05 02:00:00,1002.3287,1001.74,1098.0
2020-01-05 03:00:00,981.5747,976.69,1057.0
2020-01-05 04:00:00,963.7882,949.4299999999996,1046.0
2020-01-05 05:00:00,941.5416,941.97,1011.0
2020-01-05 06:00:00,888.4813,872.1999999999997,956.0
2020-01-05 07:00:00,773.0808,742.0,800.2188888888885
2020-01-05 08:00:00,727.5319,717.0,785.0
2020-01-05 09:00:00,705.7046,731.0,812.0
2020-01-05 10:00:00,721.13605,735.0,823.0
2020-01-05 11:00:00,736.71594,677.3,728.9233333333333
2020-01-05 12:00:00,692.13617,707.0,735.09
2020-01-05 13:00:00,708.4383,748.0,752.1541741666666
2020-01-05 14:00:00,738.03076,761.0,761.9266666666667
2020-01-05 15:00:00,747.8602,755.0,776.0850743999998
2020-01-05 16:00:00,739.8259,746.0,781.3574687500002
2020-01-05 17:00:00,750.8568,764.0,738.4899686666668
2020-01-05 18:00:00,831.5589,741.6999999999998,785.7476001666668
2020-01-05 19:00:00,1011.2704,1057.3000000000004,997.383194
2020-01-05 20:00:00,1095.7147,1061.2,1025.5308
2020-01-05 21:00:00,1099.2821,1075.5,1088.202215
2020-01-05 22:00:00,1088.5684,1057.2,1095.9010340000002
2020-01-05 23:00:00,1039.3759,1036.46,1092.0
2020-01-06 00:00:00,1002.8657,998.0,1078.0
2020-01-06 01:00:00,971.7258,964.4,1056.234851916667
2020-01-06 02:00:00,949.72266,930.6,1012.854454
2020-01-06 03:00:00,923.3681,920.8,1012.3604950000004
2020-01-06 04:00:00,911.3625,893.4000000000003,971.9291548
2020-01-06 05:00:00,891.9853,900.3999999999999,963.5505
2020-01-06 06:00:00,885.5935,896.3999999999999,960.7173141666668
2020-01-06 07:00:00,762.8835,821.1,797.8495623750001
2020-01-06 08:00:00,839.4575,836.9,870.6616666666665
2020-01-06 09:00:00,874.7974,924.9,908.3711111111112
2020-01-06 10:00:00,915.4249,964.9,931.48
2020-01-06 11:00:00,944.1587,982.7,958.0927777777777
2020-01-06 12:00:00,957.4106,1019.2,974.2288888888892
2020-01-06 13:00:00,995.35693,1022.6,983.8288888888884
2020-01-06 14:00:00,1023.2568,1001.1,979.7466666666668
2020-01-06 15:00:00,1000.14484,1032.8,1013.6633333333332
2020-01-06 16:00:00,1020.9192,1062.5,978.6777777777776
2020-01-06 17:00:00,1012.20795,1024.8,943.0105555555556
2020-01-06 18:00:00,1011.37524,980.0,947.558888888889
